Water Control Zone	River	Station	Dates	Sample No	5-Day Biochemical Oxygen Demand (mg/L)	Aluminium (?g/L)	Ammonia-Nitrogen (mg/L)	Anionic Surfactants (as Manoxol OT) (mg/L)	Antimony (?g/L)	Arsenic (?g/L)	Barium (?g/L)	Beryllium (?g/L)	Boron (?g/L)	Cadmium (?g/L)	Chemical Oxygen Demand (mg/L)	Chloride (mg/L)	Chlorophyll-?? (mg/m³)	Chromium (?g/L)	Conductivity (?S/cm)	Copper (?g/L)	Cyanide (mg/L)	Dissolved Oxygen (%saturation)	Dissolved Oxygen (mg/L)	Faecal Coliforms (counts/100mL)	Flow (m³/s)	Fluoride (mg/L)	Free Hydrogen Sulphide (mg/L)	Iron (?g/L)	Lead (?g/L)	Manganese (?g/L)	Mercury (?g/L)	Molybdenum (?g/L)	Nickel (?g/L)	Nitrate-Nitrogen (mg/L)	Nitrite-Nitrogen (mg/L)	Oil and Grease (mg/L)	Orthophosphate Phosphorus (mg/L)	pH	Phaeopigment (mg/m³)	Salinity (psu)	Silica (as SiO?) (mg/L)	Silver (?g/L)	Sulphide (mg/L)	Suspended solids (mg/L)	Thallium (?g/L)	Total Kjeldahl Nitrogen (mg/L)	Total Organic Carbon (mg/L)	Total Phosphorus (mg/L)	Total Solids (mg/L)	Total Volatile Solids (mg/L)	Turbidity (NTU)	Vanadium (?g/L)	Water Temperature (°C)	Zinc (?g/L)	??. ????????  (counts/100mL)
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	1/16/2020	1	1.1	<50	0.28	0.06	<1	<1	16	<1	137	0.1	7	300	<0.2	<1	1027	19	<0.01	99	8.9	2900	null	0.5	<0.01	<50	<1	<10	<1	<2	3	1.2	0.037	<0.5	0.032	8.1	1.7	0.6	12	<1	<0.02	1.4	<1	2.1	3	0.07	750	180	0.7	<2	20.8	62	30
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	3/20/2020	1	24	<50	0.029	0.07	<1	<1	23	<1	89	<0.1	36	230	<0.2	<1	853	15	<0.01	101	8.9	370000	null	0.5	<0.01	<50	<1	20	<1	<2	2	0.043	0.64	<0.5	0.004	8.3	2.8	0.5	13	<1	<0.02	13	<1	1.5	10	0.12	610	120	5	<2	21.3	24	7400
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	5/14/2020	1	1.9	86	0.18	0.1	<1	<1	15	<1	56	<0.1	11	41	<0.2	<1	310	6	<0.01	101	8.2	50000	null	0.6	<0.01	<50	<1	<10	<1	<2	1	0.89	0.052	<0.5	0.087	8.5	1.2	0.1	12	<1	<0.02	1.7	<1	0.97	3	0.13	240	69	1.5	<2	25.8	<10	1400
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	6/11/2020	1	6	370	0.061	<0.05	<1	<1	8	<1	<50	<0.1	16	14	0.5	<1	177	3	<0.01	100	7.8	430000	null	0.4	<0.01	267	<1	14	<1	<2	<1	0.46	<0.002	<0.5	0.017	8	0.9	0.1	16	<1	<0.02	7.6	<1	0.3	3	0.04	120	32	9	<2	28	18	10000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	9/2/2020	1	1	294	0.43	<0.05	<1	<1	8	<1	<50	<0.1	6	28	0.5	<1	236	9	<0.01	101	7.8	360000	null	0.4	<0.01	305	<1	<10	<1	<2	<1	0.5	0.074	<0.5	0.074	7.9	0.4	0.1	15	<1	<0.02	2.7	<1	1.1	3	0.12	190	79	5.2	<2	28.7	10	320000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	10/15/2020	1	1.8	59	0.043	<0.05	<1	<1	17	<1	<50	<0.1	10	84	1.9	9	417	2	<0.01	102	8.4	25000	null	0.3	<0.01	68	18	<10	<1	<2	<1	0.3	0.043	<0.5	0.035	7.9	0.8	0.2	19	<1	<0.02	8	<1	0.37	3	0.08	310	75	6.5	<2	25.1	11	15000
Western Buffer	Pai Min Kok (Anglers') Stream	AN1	11/19/2020	1	1.1	<50	0.53	<0.05	<1	<1	10	<1	66	<0.1	5	140	0.5	<1	598	3	<0.01	101	8.4	160000	null	0.4	<0.01	55	<1	<10	<1	<2	<1	0.86	0.078	<0.5	0.088	7.8	1.2	0.3	16	<1	<0.02	7.1	<1	1.4	3	0.16	390	69	4.6	<2	24.6	<10	160000
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	1/16/2020	1	0.9	<50	0.044	0.06	<1	<1	8	<1	<50	<0.1	4	<10	<0.2	<1	178	2	<0.01	118	10.6	7900	0.001	0.5	<0.01	58	<1	<10	<1	<2	<1	0.35	0.027	<0.5	0.038	9.2	1.7	0.1	18	<1	<0.02	1.3	<1	0.4	2	0.08	130	40	3.1	<2	20.4	<10	6400
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	3/20/2020	1	1.3	69	0.031	<0.05	<1	<1	10	<1	<50	<0.1	10	10	1.4	<1	181	3	<0.01	122	10.7	1900	0.003	0.7	<0.01	92	<1	<10	<1	2	<1	0.44	0.014	<0.5	0.063	8.9	1.5	0.1	20	<1	<0.02	1.2	<1	0.32	3	0.07	150	56	1.4	<2	21.7	13	1700
Western Buffer	Pai Min Kok (Anglers') Stream	AN2	5/14/2020	1	11	93	0.02	0.77	<1	<1	12	<1	<50	<0.1	22	10	0.3	<1	261	5	<0.01	145	11.6	190000	0.001	0.8	<0.01	88	<1	<10	<1	3	<1	0.4	0.008	2.1	0.07	9.7	1.3	0.1	19	<1	<0.02	2.5	<1	0.6	8	0.11	190	60	6	<2	26.7	<10	9900
