"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-𝘢 (mg/m³)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (mg/m³)","Salinity (psu)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)","𝐸. 𝑐𝑜𝑙𝑖  (counts/100mL)"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-01-06","1","3.3","<50","1.1","<0.05","<1","<1","13","<1","62","<0.1","8","70","0.3","<1","283","4","<0.01","100","9","190000","null","0.5","<0.01","101","<1","<10","<1","<2","2","0.81","0.23","<0.5","0.12","7.8","<0.2","0.2","12","<1","<0.02","6","<1","2.4","3","0.16","210","28","3.9","<2","20.4","21","120000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-02-10","1","6.5","<50","2.7","<0.05","<1","<1","14","<1","70","<0.1","17","56","0.2","<1","272","4","<0.01","100","9.5","6600","null","0.4","<0.01","<50","<1","<10","<1","<2","2","0.9","0.3","<0.5","0.14","7.9","2.7","0.2","2.2","<1","<0.02","7.8","<1","4.4","6","0.25","240","120","2.9","<2","17.6","26","3000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-04-07","1","1.2","<50","0.048","<0.05","<1","<1","12","<1","<50","<0.1","6","41","0.8","<1","233","2","<0.01","102","9","23000","null","0.3","<0.01","<50","<1","<10","<1","<2","<1","0.49","0.007","<0.5","0.034","8.1","0.4","0.1","8.6","<1","<0.02","2","<1","0.83","2","0.06","180","92","1.9","<2","21.5","<10","6800"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-05-05","1","0.5","<50","0.059","<0.05","<1","<1","14","<1","<50","<0.1","8","28","0.3","<1","236","2","<0.01","100","8.5","12000","null","0.4","<0.01","<50","<1","<10","<1","<2","<1","0.95","0.022","<0.5","0.032","7.7","1.3","0.1","8.8","<1","<0.02","2","<1","0.43","2","0.06","190","58","0.9","<2","23.6","<10","3000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-06-02","1","0.6","740","0.11","<0.05","<1","<1","10","<1","<50","<0.1","7","16","0.7","<1","164","4","<0.01","100","8","70000","null","0.4","<0.01","126","<1","<10","<1","<2","<1","0.7","0.034","<0.5","0.019","8","0.8","0.1","15","<1","<0.02","1.5","<1","0.34","2","0.05","180","78","5.6","<2","26.6","<10","70000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-07-14","1","1","<50","0.036","<0.05","<1","<1","6","<1","<50","<0.1","6","37","<0.2","<1","227","1","<0.01","100","7.9","410000","null","0.3","<0.01","140","<1","<10","<1","<2","<1","0.36","0.021","<0.5","0.007","7.7","0.8","0.1","15","<1","<0.02","4.4","<1","0.38","1","0.06","130","48","6.9","<2","27.4","<10","260000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-08-04","1","9.6","70","0.23","<0.05","<1","<1","12","<1","<50","<0.1","60","55","4.8","<1","284","8","<0.01","99","7.9","150000","null","0.3","<0.01","120","<1","<10","<1","<2","2","1.7","0.048","<0.5","0.061","7.8","11","0.1","12","<1","<0.02","24","<1","4.4","15","0.33","340","90","15.2","<2","27.2","30","50000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-09-22","1","0.2","<50","0.01","<0.05","<1","<1","8","<1","<50","<0.1","4","54","0.4","<1","321","2","<0.01","100","8","35000","null","0.6","<0.01","90","<1","<10","<1","<2","<1","0.41","0.006","<0.5","0.04","7.7","0.4","0.2","16","<1","<0.02","1.9","<1","0.11","2","0.06","230","91","3.7","<2","26.5","<10","25000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-10-06","1","<0.1","<50","0.034","<0.05","<1","<1","12","<1","<50","<0.1","9","130","1.1","<1","612","2","<0.01","100","8","5700","null","0.3","<0.01","100","<1","<10","<1","<2","<1","0.4","0.029","<0.5","0.016","7.7","0.5","0.3","14","<1","<0.02","1.3","<1","0.27","2","0.05","320","64","3","<2","26.8","<10","3200"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-11-10","1","1","<50","0.022","<0.05","<1","<1","8","<1","50","<0.1","11","200","0.7","<1","760","2","<0.01","101","8.6","60000","null","0.4","<0.01","90","<1","<10","<1","<2","<1","0.33","0.022","<0.5","0.017","7.9","0.5","0.4","18","<1","<0.02","2.6","<1","0.28","2","0.09","460","110","2.7","<2","23.3","<10","41000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN1","2022-12-17","1","2.5","60","0.12","<0.05","<1","<1","13","<1","70","<0.1","9","200","0.9","<1","642","4","<0.01","101","10.2","13000","null","0.4","<0.01","<50","<1","<10","<1","<2","2","0.54","0.053","<0.5","0.02","8.1","0.5","0.4","13","<1","<0.02","4.4","<1","1.2","4","0.09","1900","250","6","<2","14.8","10","10000"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-01-06","1","0.2","<50","0.019","<0.05","<1","<1","7","<1","<50","<0.1","3","10","0.6","<1","329","<1","<0.01","103","9.3","8200","0.002","0.4","<0.01","106","<1","<10","<1","<2","<1","0.14","0.003","<0.5","0.02","7.7","<0.2","0.2","14","<1","<0.02","2.2","<1","0.18","1","0.03","130","38","4.2","<2","20.1","13","5700"
"Western Buffer","Pai Min Kok (Anglers') Stream","AN2","2022-02-10","1","6.5","<50","0.014","<0.05","<1","<1","7","<1","<50","<0.1","<2","13","<0.2","<1","233","<1","<0.01","100","9.5","4000","0.004","0.3","<0.01","<50","<1","18","<1","<2","<1","0.075","<0.002","<0.5","0.017","8.2","0.3","0.1","2.7","<1","<0.02","0.7","<1","0.05","<1","0.03","120","77","2.6","<2","17.9","15","2600"
