Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Login,Chrome 131.0.0.0,,,27-11-2024 17:25:25,27-11-2024 17:27:18,1m - 52.716s,PASSED
,,,,,,,
Test Cases/COOLMATE-001/TC001-Login with valid fields,Chrome 131.0.0.0,Login to the Coolmate Page with valid fields,S001; TS001-Login; Login Form;,27-11-2024 17:25:26,27-11-2024 17:26:07,41.012s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 17:25:26,27-11-2024 17:25:26,0.012s,PASSED
Start setup action : setupTestCase,Chrome 131.0.0.0,,,27-11-2024 17:25:26,27-11-2024 17:25:30,4.687s,PASSED
"""======================Login to the Coolmate Page with valid fields========================""",Chrome 131.0.0.0,,,27-11-2024 17:25:30,27-11-2024 17:25:30,0.001s,PASSED
delay(5),Chrome 131.0.0.0,Wait for elements to load before interaction,,27-11-2024 17:25:30,27-11-2024 17:25:35,5.024s,PASSED
"click(findTestObject(""Object Repository/common/icon/user icon""))",Chrome 131.0.0.0,,,27-11-2024 17:25:35,27-11-2024 17:25:35,0.086s,PASSED
delay(3),Chrome 131.0.0.0,Enter login credentials,,27-11-2024 17:25:35,27-11-2024 17:25:38,3.017s,PASSED
"sendKeys(findTestObject(""Object Repository/common/div/div_id_with_input_name"", [""id"":""app"", ""name"":""username""]), username_bao)",Chrome 131.0.0.0,,,27-11-2024 17:25:38,27-11-2024 17:25:39,0.088s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:25:39,27-11-2024 17:25:42,3.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/common/div/div_id_with_input_name"", [""id"":""app"", ""name"":""password""]), password_bao)",Chrome 131.0.0.0,,,27-11-2024 17:25:42,27-11-2024 17:25:42,0.088s,PASSED
"common.UtilKeyword.takeScreenShot(""valid_fields_login"")",Chrome 131.0.0.0,,,27-11-2024 17:25:42,27-11-2024 17:25:42,0.329s,PASSED
delay(3),Chrome 131.0.0.0,Click login button and wait for page load,,27-11-2024 17:25:42,27-11-2024 17:25:45,3.016s,PASSED
"click(findTestObject(""Object Repository/common/button/button_class"", [""class"":""login-btn""]))",Chrome 131.0.0.0,,,27-11-2024 17:25:45,27-11-2024 17:25:45,0.062s,PASSED
waitForPageLoad(10),Chrome 131.0.0.0,,,27-11-2024 17:25:45,27-11-2024 17:25:45,0.018s,PASSED
updateSizePopup = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,Handle pop-up elements or any other actions after login,,27-11-2024 17:25:45,27-11-2024 17:25:45,0.000s,PASSED
"updateSizePopup.addProperty(""xpath"", EQUALS, ""//*[@id='popup-member'][1]/div[2]/span"")",Chrome 131.0.0.0,,,27-11-2024 17:25:45,27-11-2024 17:25:45,0.004s,PASSED
"waitForElementVisible(updateSizePopup, 10)",Chrome 131.0.0.0,,,27-11-2024 17:25:45,27-11-2024 17:25:49,3.669s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:25:49,27-11-2024 17:25:52,3.010s,PASSED
click(updateSizePopup),Chrome 131.0.0.0,,,27-11-2024 17:25:52,27-11-2024 17:25:52,0.054s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:25:52,27-11-2024 17:25:55,3.004s,PASSED
newMemberPopup = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,27-11-2024 17:25:55,27-11-2024 17:25:55,0.001s,PASSED
"newMemberPopup.addProperty(""xpath"", EQUALS, ""//*[@id='popup-member'][2]/div[2]/span"")",Chrome 131.0.0.0,,,27-11-2024 17:25:55,27-11-2024 17:25:55,0.001s,PASSED
"waitForElementVisible(newMemberPopup, 10)",Chrome 131.0.0.0,,,27-11-2024 17:25:55,27-11-2024 17:25:55,0.023s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:25:55,27-11-2024 17:25:58,3.003s,PASSED
click(newMemberPopup),Chrome 131.0.0.0,,,27-11-2024 17:25:58,27-11-2024 17:25:58,0.049s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:25:58,27-11-2024 17:26:01,3.010s,PASSED
"click(findTestObject(""Object Repository/common/icon/user icon""))",Chrome 131.0.0.0,Verify user is logged in and account info is present,,27-11-2024 17:26:01,27-11-2024 17:26:01,0.087s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/common/div/div_class"", [""class"":""account-information__name""]), 10)",Chrome 131.0.0.0,,,27-11-2024 17:26:01,27-11-2024 17:26:01,0.025s,PASSED
"common.UtilKeyword.takeScreenShot(""verify_logged_in"")",Chrome 131.0.0.0,,,27-11-2024 17:26:01,27-11-2024 17:26:01,0.283s,PASSED
