Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Search Product,Chrome 131.0.0.0,,,27-11-2024 17:55:10,27-11-2024 18:07:13,12m - 2.626s,PASSED
,,,,,,,
Test Cases/COOLMATE-002/TC001-Searching products as an unauthenticated user,Chrome 131.0.0.0,"As an unauthenticated user, entering valid and invalid keys to search related products
",S002; TS001-Search Product; Search Box,27-11-2024 17:55:10,27-11-2024 17:56:03,52.662s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,27-11-2024 17:55:10,27-11-2024 17:55:10,0.011s,PASSED
common.UtilKeyword.openURL(),Chrome 131.0.0.0,Open Coolmate,,27-11-2024 17:55:10,27-11-2024 17:55:17,7.003s,PASSED
"""==========================As an unauthenticated user,  entering  valid keys to search related products=========================""",Chrome 131.0.0.0,,,27-11-2024 17:55:17,27-11-2024 17:55:17,0.001s,PASSED
"click(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""search-input""]))",Chrome 131.0.0.0,Click on Search box,,27-11-2024 17:55:17,27-11-2024 17:55:18,0.152s,PASSED
delay(4),Chrome 131.0.0.0,,,27-11-2024 17:55:18,27-11-2024 17:55:22,4.015s,PASSED
"sendKeys(findTestObject(""Object Repository/common/properties/Id/id"", [""id"":""input-spotlight""]), validSearchKeywords)",Chrome 131.0.0.0,Enter valid search keywords,,27-11-2024 17:55:22,27-11-2024 17:55:22,0.050s,PASSED
delay(10),Chrome 131.0.0.0,,,27-11-2024 17:55:22,27-11-2024 17:55:32,10.011s,PASSED
"common.UtilKeyword.takeScreenShot(""unauthen_valid_search"")",Chrome 131.0.0.0,,,27-11-2024 17:55:32,27-11-2024 17:55:32,0.274s,PASSED
"searchResults = findWebElements(findTestObject(""Object Repository/home_page/product_search_result""), 10)",Chrome 131.0.0.0,Verify that all results match the valid search keywords,,27-11-2024 17:55:32,27-11-2024 17:55:32,0.024s,PASSED
searchKeywordsText = common.TextUtilKeyword.removeAccents(validSearchKeywords.toLowerCase()),Chrome 131.0.0.0,,,27-11-2024 17:55:32,27-11-2024 17:55:32,0.012s,PASSED
"searchResults.eachWithIndex({ org.openqa.selenium.WebElement element, int index -> ... })",Chrome 131.0.0.0,,,27-11-2024 17:55:32,27-11-2024 17:55:32,0.067s,PASSED
"markPassed(""All results match the valid search keyword ""searchKeywords"""")",Chrome 131.0.0.0,,,27-11-2024 17:55:32,27-11-2024 17:55:32,0.002s,PASSED
delay(5),Chrome 131.0.0.0,Return to Home Page,,27-11-2024 17:55:32,27-11-2024 17:55:37,5.002s,PASSED
"click(findTestObject(""Object Repository/common/properties/Class/rel-script_and_contains_class"", [""rel-script"":""spotlight-search-close"", ""class"":""homepage-search__submit""]))",Chrome 131.0.0.0,,,27-11-2024 17:55:37,27-11-2024 17:55:37,0.067s,PASSED
delay(3),Chrome 131.0.0.0,,,27-11-2024 17:55:37,27-11-2024 17:55:40,3.018s,PASSED
"""===============================Entering invalid keys to search related products=================================""",Chrome 131.0.0.0,,,27-11-2024 17:55:40,27-11-2024 17:55:40,0.001s,PASSED
