Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Add Product To Cart,Chrome 131.0.0.0,,,02-01-2025 21:15:52,02-01-2025 21:21:55,6m - 3.046s,PASSED
,,,,,,,
Test Cases/COOLMATE-004/TC001-Add product to cart the product page,Chrome 131.0.0.0,,,02-01-2025 21:15:52,02-01-2025 21:17:19,1m - 26.837s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,02-01-2025 21:15:52,02-01-2025 21:15:52,0.035s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Go to Coolmate website and authenticate,,02-01-2025 21:15:53,02-01-2025 21:16:31,38.719s,PASSED
selectedProductInfoFisrt = new java.util.HashMap(),Chrome 131.0.0.0,===============Add products from the product page to cart and verify added products in cart===============,,02-01-2025 21:16:31,02-01-2025 21:16:31,0.000s,PASSED
"scrollToElement(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]), 10)",Chrome 131.0.0.0,Scroll to the product,,02-01-2025 21:16:31,02-01-2025 21:16:32,0.092s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:16:32,02-01-2025 21:16:35,3.021s,PASSED
"productName = getText(findTestObject(""Object Repository/pages/home_page/product_name_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Collect the first selected product infomation that will be added to cart,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.178s,PASSED
"selectedProductInfoFisrt.put(""name"", productName)",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.006s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.161s,PASSED
"selectedColor = getAttribute(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]), ""title"")",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.063s,PASSED
"selectedProductInfoFisrt.put(""color"", selectedColor)",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.000s,PASSED
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.191s,PASSED
"selectedProductInfoFisrt.put(""size"", selectedSize)",Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.007s,PASSED
logInfo(selectedProductInfoFisrt.toString()),Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.010s,PASSED
"mouseOver(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Add first product to cart,,02-01-2025 21:16:35,02-01-2025 21:16:35,0.266s,PASSED
delay(5),Chrome 131.0.0.0,,,02-01-2025 21:16:35,02-01-2025 21:16:41,5.022s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:16:41,02-01-2025 21:16:41,0.442s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,,,02-01-2025 21:16:41,02-01-2025 21:16:42,1.471s,PASSED
"common.UtilKeyword.takeScreenShot(""added_first_product"")",Chrome 131.0.0.0,,,02-01-2025 21:16:42,02-01-2025 21:16:43,0.522s,PASSED
selectedProductInfoSecond = new java.util.HashMap(),Chrome 131.0.0.0,Collect the second selected product infomation that will be added to cart,,02-01-2025 21:16:43,02-01-2025 21:16:43,0.000s,PASSED
"productName = getText(findTestObject(""Object Repository/pages/home_page/product_name_section_index"", [""section-pos"":1, ""index"":3]))",Chrome 131.0.0.0,Collect the second selected product infomation that will be added to cart,,02-01-2025 21:16:43,02-01-2025 21:16:43,0.095s,PASSED
"selectedProductInfoSecond.put(""name"", productName)",Chrome 131.0.0.0,,,02-01-2025 21:16:43,02-01-2025 21:16:43,0.000s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":3, ""color-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:16:43,02-01-2025 21:16:43,0.196s,PASSED
"selectedColor = getAttribute(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":3, ""color-pos"":1]), ""title"")",Chrome 131.0.0.0,,,02-01-2025 21:16:43,02-01-2025 21:16:44,0.304s,PASSED
"selectedProductInfoSecond.put(""color"", selectedColor)",Chrome 131.0.0.0,,,02-01-2025 21:16:44,02-01-2025 21:16:44,0.000s,PASSED
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":3, ""size-pos"":1]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:16:44,02-01-2025 21:16:44,0.055s,PASSED
"selectedProductInfoSecond.put(""size"", selectedSize)",Chrome 131.0.0.0,,,02-01-2025 21:16:44,02-01-2025 21:16:44,0.002s,PASSED
logInfo(selectedProductInfoSecond.toString()),Chrome 131.0.0.0,,,02-01-2025 21:16:44,02-01-2025 21:16:44,0.004s,PASSED
"mouseOver(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":3]))",Chrome 131.0.0.0,Add second product to cart,,02-01-2025 21:16:44,02-01-2025 21:16:44,0.205s,PASSED
delay(5),Chrome 131.0.0.0,,,02-01-2025 21:16:44,02-01-2025 21:16:49,5.006s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":3, ""size-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:16:49,02-01-2025 21:16:49,0.458s,PASSED
"common.UtilKeyword.handleToastMessage(""Đã thêm vào giỏ hàng!"", 60)",Chrome 131.0.0.0,,,02-01-2025 21:16:49,02-01-2025 21:16:52,2.486s,PASSED
"common.UtilKeyword.takeScreenShot(""added_second_product"")",Chrome 131.0.0.0,,,02-01-2025 21:16:52,02-01-2025 21:16:52,0.362s,PASSED
"click(findTestObject(""Object Repository/common/icon/cart_icon""))",Chrome 131.0.0.0,Go to cart,,02-01-2025 21:16:52,02-01-2025 21:17:00,7.406s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 131.0.0.0,,,02-01-2025 21:17:00,02-01-2025 21:17:03,3.098s,PASSED
addedProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,Verify added first product in cart,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.004s,PASSED
"addedProduct.addProperty(""xpath"", EQUALS, ""//*[*[text()='"" + selectedProductInfoFisrt.get(""name"") + ""']]/following-sibling::div"")",Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.027s,PASSED
verifyElementVisible(addedProduct),Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.647s,PASSED
logInfo(getText(addedProduct)),Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.077s,PASSED
"if (getText(addedProduct).contains(selectedProductInfoFisrt.get(""color"") + "" / "" + selectedProductInfoFisrt.get(""size"")))",Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.039s,PASSED
"addedProduct.addProperty(""xpath"", EQUALS, ""//*[*[text()='"" + selectedProductInfoSecond.get(""name"") + ""']]/following-sibling::div"")",Chrome 131.0.0.0,Verify added second product in cart,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.000s,PASSED
verifyElementVisible(addedProduct),Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:03,0.047s,PASSED
logInfo(getText(addedProduct)),Chrome 131.0.0.0,,,02-01-2025 21:17:03,02-01-2025 21:17:04,0.040s,PASSED
"if (getText(addedProduct).contains(selectedProductInfoSecond.get(""color"") + "" / "" + selectedProductInfoSecond.get(""size"")))",Chrome 131.0.0.0,,,02-01-2025 21:17:04,02-01-2025 21:17:04,0.250s,PASSED
product.ProductDetail.removeAllProductFromCart(),Chrome 131.0.0.0,Remove all products in cart,,02-01-2025 21:17:04,02-01-2025 21:17:11,6.875s,PASSED
common.UtilKeyword.logOutAndClose(),Chrome 131.0.0.0,Logout and close browser,,02-01-2025 21:17:11,02-01-2025 21:17:19,8.395s,PASSED
,,,,,,,
Test Cases/COOLMATE-004/TC002-Add product to cart the product detail page,Chrome 131.0.0.0,,,02-01-2025 21:17:19,02-01-2025 21:18:47,1m - 27.761s,PASSED
Start listener action : beforeTestCase,Chrome 131.0.0.0,,,02-01-2025 21:17:19,02-01-2025 21:17:19,0.006s,PASSED
"common.UtilKeyword.openURLAndAuthenticate(username_bao, password_bao)",Chrome 131.0.0.0,Go to Coolmate website and authenticate,,02-01-2025 21:17:19,02-01-2025 21:17:54,34.842s,PASSED
selectedProduct = new java.util.HashMap(),Chrome 131.0.0.0,======================Add a product from the product page=================================,,02-01-2025 21:17:54,02-01-2025 21:17:54,0.000s,PASSED
"scrollToElement(findTestObject(""Object Repository/pages/home_page/product_section_index"", [""section-pos"":1, ""index"":2]), 10)",Chrome 131.0.0.0,Scroll to the product,,02-01-2025 21:17:54,02-01-2025 21:17:54,0.092s,PASSED
delay(3),Chrome 131.0.0.0,,,02-01-2025 21:17:54,02-01-2025 21:17:57,3.006s,PASSED
"productName = getText(findTestObject(""Object Repository/pages/home_page/product_name_section_index"", [""section-pos"":1, ""index"":2]))",Chrome 131.0.0.0,Collect the first selected product infomation that will be added to cart,,02-01-2025 21:17:57,02-01-2025 21:17:58,0.130s,PASSED
"selectedProduct.put(""name"", productName)",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.002s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]))",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.322s,PASSED
"selectedColor = getAttribute(findTestObject(""Object Repository/pages/home_page/product_color_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""color-pos"":1]), ""title"")",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.272s,PASSED
"selectedProduct.put(""color"", selectedColor)",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.000s,PASSED
"selectedSize = getAttribute(findTestObject(""Object Repository/pages/home_page/product_size_option_pos"", [""section-pos"":1, ""index-pro-pos"":2, ""size-pos"":1]), ""innerText"")",Chrome 131.0.0.0,,,02-01-2025 21:17:58,02-01-2025 21:17:58,0.050s,PASSED
