Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS001-Address Book,Chrome 132.0.0.0,,,09-02-2025 22:47:37,09-02-2025 22:52:01,4m - 24.417s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC001-Add new address and set default,Chrome 132.0.0.0,,,09-02-2025 22:47:38,09-02-2025 22:48:53,1m - 15.611s,PASSED
Start listener action : beforeTestCase,Chrome 132.0.0.0,,,09-02-2025 22:47:38,09-02-2025 22:47:38,0.036s,PASSED
Start setup action : setupTestCase,Chrome 132.0.0.0,,,09-02-2025 22:47:38,09-02-2025 22:48:30,52.252s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user_icon""))",Chrome 132.0.0.0,Go to address book,,09-02-2025 22:48:30,09-02-2025 22:48:30,0.149s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:48:30,09-02-2025 22:48:32,2.024s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 132.0.0.0,,,09-02-2025 22:48:32,09-02-2025 22:48:33,0.041s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 132.0.0.0,,,09-02-2025 22:48:33,09-02-2025 22:48:34,1.758s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 132.0.0.0,,,09-02-2025 22:48:34,09-02-2025 22:48:37,3.033s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Thông tin tài khoản""]), 10)",Chrome 132.0.0.0,,,09-02-2025 22:48:37,09-02-2025 22:48:37,0.051s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:48:37,09-02-2025 22:48:39,2.007s,PASSED
"click(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Sổ địa chỉ""]))",Chrome 132.0.0.0,,,09-02-2025 22:48:39,09-02-2025 22:48:39,0.101s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:48:39,09-02-2025 22:48:41,2.008s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""thêm địa chỉ mới""]), 10)",Chrome 132.0.0.0,,,09-02-2025 22:48:41,09-02-2025 22:48:42,0.038s,PASSED
"click(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""thêm địa chỉ mới""]))",Chrome 132.0.0.0,,,09-02-2025 22:48:42,09-02-2025 22:48:42,0.252s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/common/div/div_class"", [""class"":""address-book-form""]), 10)",Chrome 132.0.0.0,=============Add a new address to the address book with all valid information and set it as default===========,,09-02-2025 22:48:42,09-02-2025 22:48:42,0.282s,PASSED
"setText(findTestObject(""Object Repository/common/input/input_name"", [""name"":""address""]), suggestedAddress)",Chrome 132.0.0.0,Enter address and wait for other data fields to be automatically filled,,09-02-2025 22:48:42,09-02-2025 22:48:42,0.202s,PASSED
delay(5),Chrome 132.0.0.0,,,09-02-2025 22:48:42,09-02-2025 22:48:47,5.019s,PASSED
"click(findTestObject(""Object Repository/common/div/div_text"", [""text"":address]))",Chrome 132.0.0.0,,,09-02-2025 22:48:47,09-02-2025 22:48:47,0.081s,PASSED
delay(3),Chrome 132.0.0.0,,,09-02-2025 22:48:47,09-02-2025 22:48:50,3.016s,PASSED
"click(findTestObject(""Object Repository/common/span/span_contains_text"", [""text"":""Thêm""]))",Chrome 132.0.0.0,,,09-02-2025 22:48:50,09-02-2025 22:48:51,0.134s,PASSED
"common.UtilKeyword.handleToastMessage(""Lưu địa chỉ thành công!"", 10)",Chrome 132.0.0.0,Handle Toast Message,,09-02-2025 22:48:51,09-02-2025 22:48:51,0.716s,PASSED
"common.UtilKeyword.takeScreenShot(""add_address_successfully"")",Chrome 132.0.0.0,Take Screenshot,,09-02-2025 22:48:51,09-02-2025 22:48:51,0.253s,PASSED
closeBrowser(),Chrome 132.0.0.0,Close browser,,09-02-2025 22:48:51,09-02-2025 22:48:53,1.870s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC002-Update address,Chrome 132.0.0.0,,,09-02-2025 22:48:53,09-02-2025 22:50:06,1m - 12.320s,PASSED
Start listener action : beforeTestCase,Chrome 132.0.0.0,,,09-02-2025 22:48:53,09-02-2025 22:48:53,0.006s,PASSED
Start setup action : setupTestCase,Chrome 132.0.0.0,,,09-02-2025 22:48:53,09-02-2025 22:49:44,50.492s,PASSED
"enhancedClick(findTestObject(""Object Repository/common/icon/user_icon""))",Chrome 132.0.0.0,Go to address book,,09-02-2025 22:49:44,09-02-2025 22:49:44,0.119s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:49:44,09-02-2025 22:49:46,2.020s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/pages/home_page/go_to_account""), 10)",Chrome 132.0.0.0,,,09-02-2025 22:49:46,09-02-2025 22:49:46,0.044s,PASSED
"click(findTestObject(""Object Repository/pages/home_page/go_to_account""))",Chrome 132.0.0.0,,,09-02-2025 22:49:46,09-02-2025 22:49:48,1.364s,PASSED
"common.UtilKeyword.waitForPageLoadAndDelay(20, 3)",Chrome 132.0.0.0,,,09-02-2025 22:49:48,09-02-2025 22:49:51,3.029s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Thông tin tài khoản""]), 10)",Chrome 132.0.0.0,,,09-02-2025 22:49:51,09-02-2025 22:49:51,0.044s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:49:51,09-02-2025 22:49:53,2.018s,PASSED
"click(findTestObject(""Object Repository/common/a/a_text"", [""text"":""Sổ địa chỉ""]))",Chrome 132.0.0.0,,,09-02-2025 22:49:53,09-02-2025 22:49:53,0.095s,PASSED
delay(2),Chrome 132.0.0.0,,,09-02-2025 22:49:53,09-02-2025 22:49:55,2.014s,PASSED
"scrollToElement(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""Cập nhật""]), 10)",Chrome 132.0.0.0,,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.045s,PASSED
"click(findTestObject(""Object Repository/common/button/button_contains_text"", [""text"":""Cập nhật""]))",Chrome 132.0.0.0,,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.152s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/common/div/div_class"", [""class"":""address-book-form""]), 10)",Chrome 132.0.0.0,==========Update a address with all valid information in the address book========,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.328s,PASSED
"setText(findTestObject(""Object Repository/common/input/input_name"", [""name"":""address""]), suggestedAddress)",Chrome 132.0.0.0,Update address fields,,09-02-2025 22:49:55,09-02-2025 22:49:55,0.163s,PASSED
delay(5),Chrome 132.0.0.0,,,09-02-2025 22:49:55,09-02-2025 22:50:01,5.009s,PASSED
"click(findTestObject(""Object Repository/common/div/div_text"", [""text"":updatedAddress]))",Chrome 132.0.0.0,,,09-02-2025 22:50:01,09-02-2025 22:50:01,0.067s,PASSED
delay(3),Chrome 132.0.0.0,,,09-02-2025 22:50:01,09-02-2025 22:50:04,3.016s,PASSED
"click(findTestObject(""Object Repository/common/span/span_contains_text"", [""text"":""Lưu""]))",Chrome 132.0.0.0,,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.142s,PASSED
"common.UtilKeyword.handleToastMessage(""Cập nhật địa chỉ thành công!"", 10)",Chrome 132.0.0.0,Handle Toast Message,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.609s,PASSED
"common.UtilKeyword.takeScreenShot(""update_address_successfully"")",Chrome 132.0.0.0,Take Screenshot,,09-02-2025 22:50:04,09-02-2025 22:50:04,0.120s,PASSED
closeBrowser(),Chrome 132.0.0.0,Close browser,,09-02-2025 22:50:04,09-02-2025 22:50:06,1.224s,PASSED
,,,,,,,
Test Cases/COOLMATE-005/TC003-Delete address,Chrome 132.0.0.0,,,09-02-2025 22:50:06,09-02-2025 22:52:01,1m - 55.696s,PASSED
